Exercise,Weight(kg),Time,Velocity(m/s)
SQ,0,2026-02-28T09:44:13.540Z,0.000
SQ,0,2026-02-28T09:44:13.557Z,0.000
SQ,0,2026-02-28T09:44:14.981Z,0.000
SQ,0,2026-02-28T09:44:15.044Z,0.027
SQ,0,2026-02-28T09:44:15.057Z,0.059
SQ,0,2026-02-28T09:44:15.071Z,0.086
SQ,0,2026-02-28T09:44:15.101Z,0.116
SQ,0,2026-02-28T09:44:15.116Z,0.136
SQ,0,2026-02-28T09:44:15.145Z,0.153
SQ,0,2026-02-28T09:44:15.161Z,0.163
SQ,0,2026-02-28T09:44:15.189Z,0.170
SQ,0,2026-02-28T09:44:15.206Z,0.176
SQ,0,2026-02-28T09:44:15.221Z,0.184
SQ,0,2026-02-28T09:44:15.250Z,0.188
SQ,0,2026-02-28T09:44:15.267Z,0.203
SQ,0,2026-02-28T09:44:15.295Z,0.224
SQ,0,2026-02-28T09:44:15.370Z,0.241
SQ,0,2026-02-28T09:44:15.386Z,0.243
SQ,0,2026-02-28T09:44:15.400Z,0.039
SQ,0,2026-02-28T09:44:15.415Z,0.000
SQ,0,2026-02-28T09:44:21.761Z,0.000
SQ,0,2026-02-28T09:44:21.794Z,0.046
SQ,0,2026-02-28T09:44:21.808Z,0.109
SQ,0,2026-02-28T09:44:21.824Z,0.165
SQ,0,2026-02-28T09:44:21.837Z,0.183
SQ,0,2026-02-28T09:44:21.865Z,0.108
SQ,0,2026-02-28T09:44:21.881Z,0.032
SQ,0,2026-02-28T09:44:21.911Z,0.000
SQ,0,2026-02-28T09:44:24.085Z,0.035
SQ,0,2026-02-28T09:44:24.159Z,0.054
SQ,0,2026-02-28T09:44:24.159Z,0.068
SQ,0,2026-02-28T09:44:24.161Z,0.075
SQ,0,2026-02-28T09:44:24.176Z,0.075
SQ,0,2026-02-28T09:44:24.205Z,0.079
SQ,0,2026-02-28T09:44:24.207Z,0.089
SQ,0,2026-02-28T09:44:24.235Z,0.100
SQ,0,2026-02-28T09:44:24.251Z,0.104
SQ,0,2026-02-28T09:44:24.281Z,0.111
SQ,0,2026-02-28T09:44:24.296Z,0.133
SQ,0,2026-02-28T09:44:24.326Z,0.156
SQ,0,2026-02-28T09:44:24.341Z,0.178
SQ,0,2026-02-28T09:44:24.370Z,0.189
SQ,0,2026-02-28T09:44:24.386Z,0.149
SQ,0,2026-02-28T09:44:24.431Z,0.066
SQ,0,2026-02-28T09:44:24.446Z,0.000
